City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Oranjestad,AW,78.91,clear sky,12.524,-70.027,Hotel California
3,Hilo,US,78.28,broken clouds,19.7297,-155.09,Dolphin Bay Hotel
8,Esperance,AU,72.0,scattered clouds,-33.8667,121.9,Best Western
9,Rikitea,PF,77.2,few clouds,-23.1203,-134.9692,Chez Bianca & Benoit
13,Olinda,BR,80.33,broken clouds,-8.0089,-34.8553,Fidji Motel
15,Sao Jose Da Coroa Grande,BR,76.71,scattered clouds,-8.8978,-35.1478,Hotel do Sol
18,Hithadhoo,MV,81.52,broken clouds,-0.6,73.0833,Pebbles Inn
20,New Norfolk,AU,78.91,scattered clouds,-42.7826,147.0587,Woodbridge on the Derwent
25,Vaini,TO,84.36,light rain,-21.2,-175.2,Keleti International Resort
27,Bengkulu,ID,83.46,overcast clouds,-3.8004,102.2655,Dena Hotel
29,La Palma,US,72.93,clear sky,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
31,Launceston,AU,73.04,clear sky,-41.45,147.1667,Hotel Charles
37,Mahebourg,MU,80.26,scattered clouds,-20.4081,57.7,Grand Bel Air
42,Hobart,AU,79.27,few clouds,-42.8794,147.3294,The Old Woolstore Apartment Motel
46,Saint-Philippe,RE,81.99,few clouds,-21.3585,55.7679,Le Baril
49,Atuona,PF,78.46,scattered clouds,-9.8,-139.0333,Pearl Resort
62,Kavieng,PG,84.61,light rain,-2.5744,150.7967,Kavieng Hotel
64,Padang,ID,87.85,overcast clouds,-0.9492,100.3543,losmen Surya
65,Puerto Ayora,EC,72.55,scattered clouds,-0.7393,-90.3518,Hostal La Mirada De Solitario George
69,Kapaa,US,75.52,clear sky,22.0752,-159.319,Pono Kai Resort
77,Mae Hong Son,TH,84.54,scattered clouds,19.3003,97.9685,Lakeside Garden Guesthouse
85,Sao Joao Do Piaui,BR,71.65,light rain,-8.3581,-42.2467,Hotel Esplanada
95,Lorengau,PG,83.44,broken clouds,-2.0226,147.2712,Seeadler Bay Hotel
98,Fomboni,KM,80.24,scattered clouds,-12.28,43.7425,Mohéli La Plage
100,Avarua,CK,78.85,few clouds,-21.2078,-159.775,Paradise Inn
102,Ilhabela,BR,72.03,overcast clouds,-23.7781,-45.3581,Vila Kebaya
109,Georgetown,MY,86.9,few clouds,5.4112,100.3354,Page 63 hostel
114,Bubaque,GW,79.59,scattered clouds,11.2833,-15.8333,Chez Julio
124,Jawhar,SO,78.35,scattered clouds,2.7809,45.5005,Hotel Subiye
126,Meulaboh,ID,82.33,overcast clouds,4.1363,96.1285,Hotel Meuligou
134,Kapit,MY,82.87,overcast clouds,2.0167,112.9333,Haip
135,Rio Brilhante,BR,70.05,overcast clouds,-21.8019,-54.5464,Gold Hotel
137,Souillac,MU,80.56,few clouds,-20.5167,57.5167,Hotel SkylineInn
