,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Busselton,AU,-33.65,115.3333,79.0,49,18,10.67,few clouds
1,Oranjestad,AW,12.524,-70.027,78.91,82,0,1.01,clear sky
2,Thompson,CA,55.7435,-97.8558,-17.55,97,91,3.24,overcast clouds
3,Hilo,US,19.7297,-155.09,78.28,95,75,0.0,broken clouds
4,Maneadero,MX,31.7167,-116.5667,64.71,34,0,7.72,clear sky
5,Ushuaia,AR,-54.8,-68.3,47.86,61,40,28.77,scattered clouds
6,Umm Lajj,SA,25.0213,37.2685,66.72,64,41,5.5,scattered clouds
7,Arraial Do Cabo,BR,-22.9661,-42.0278,71.26,86,64,20.45,broken clouds
8,Esperance,AU,-33.8667,121.9,72.0,67,35,13.33,scattered clouds
9,Rikitea,PF,-23.1203,-134.9692,77.2,79,17,9.22,few clouds
10,Upernavik,GL,72.7868,-56.1549,0.77,60,100,6.76,overcast clouds
11,Korla,CN,41.7597,86.1469,23.36,45,32,4.14,scattered clouds
12,Kysyl-Syr,RU,63.8986,122.7617,-29.27,99,14,3.78,few clouds
13,Olinda,BR,-8.0089,-34.8553,80.33,69,75,6.91,broken clouds
14,Luderitz,NA,-26.6481,15.1594,63.28,67,17,18.48,few clouds
15,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,76.71,83,35,7.72,scattered clouds
16,Port Elizabeth,ZA,-33.918,25.5701,63.32,87,100,18.01,overcast clouds
17,Nakatsu,JP,33.5981,131.1883,52.18,65,55,15.39,broken clouds
18,Hithadhoo,MV,-0.6,73.0833,81.52,76,56,20.4,broken clouds
19,Tazovskiy,RU,67.4667,78.7,-1.12,97,94,12.26,overcast clouds
20,New Norfolk,AU,-42.7826,147.0587,78.91,33,29,4.0,scattered clouds
21,Bocana De Paiwas,NI,12.7857,-85.1227,68.34,98,3,6.76,clear sky
22,Bluff,NZ,-46.6,168.3333,62.29,77,32,4.36,scattered clouds
23,Te Anau,NZ,-45.4167,167.7167,63.91,71,74,6.26,broken clouds
24,Tucumcari,US,35.1717,-103.725,26.44,43,0,8.05,clear sky
25,Vaini,TO,-21.2,-175.2,84.36,79,20,10.36,light rain
26,Katsuura,JP,35.1333,140.3,51.6,45,32,7.72,scattered clouds
27,Bengkulu,ID,-3.8004,102.2655,83.46,63,100,6.2,overcast clouds
28,Barrow,US,71.2906,-156.7887,-7.58,84,100,4.61,overcast clouds
29,La Palma,US,33.8464,-118.0467,72.93,56,0,3.44,clear sky
30,Flinders,AU,-34.5833,150.8552,84.18,64,15,5.01,few clouds
31,Launceston,AU,-41.45,147.1667,73.04,47,2,23.02,clear sky
