City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Marzuq,YE,2022-12-20 00:01:27,14.4,46.4667,53.17,48,0,3.04
1,Akcakoca,TR,2022-12-20 00:01:28,41.0866,31.1162,41.2,77,87,6.87
2,Graaff-Reinet,ZA,2022-12-20 00:01:29,-32.2522,24.5308,58.93,94,96,6.85
3,Dikson,RU,2022-12-20 00:01:29,73.5069,80.5464,-19.52,99,94,3.44
4,Hami,CN,2022-12-20 00:01:30,42.8,93.45,19.69,49,30,3.76
5,Faya,SA,2022-12-20 00:01:30,18.3851,42.4509,50.29,67,0,0.69
6,Faanui,PF,2022-12-19 23:58:40,-16.4833,-151.75,80.11,74,87,11.32
7,Geraldton,AU,2022-12-19 23:57:04,-28.7667,114.6,77.41,53,100,4.61
8,Tigil,RU,2022-12-20 00:01:31,57.8,158.6667,24.19,76,21,12.26
9,Norman Wells,CA,2022-12-20 00:01:32,65.282,-126.8329,-26.43,99,79,3.96
10,Punta Arenas,CL,2022-12-20 00:00:02,-53.15,-70.9167,55.81,58,42,11.74
11,Kaitangata,NZ,2022-12-19 23:51:33,-46.2817,169.8464,51.28,70,100,6.49
12,Ponta Do Sol,PT,2022-12-20 00:01:32,32.6667,-17.1,70.0,86,100,4.79
13,Bengkulu,ID,2022-12-20 00:01:33,-3.8004,102.2655,76.41,87,91,4.97
14,Busselton,AU,2022-12-20 00:01:33,-33.65,115.3333,76.46,40,2,8.72
15,New Norfolk,AU,2022-12-20 00:01:34,-42.7826,147.0587,60.93,44,2,3.62
16,Nyurba,RU,2022-12-20 00:01:34,63.2842,118.3319,-22.25,96,100,5.12
17,Tommot,RU,2022-12-20 00:01:35,58.9564,126.2925,-40.81,99,60,0.87
18,Waingapu,ID,2022-12-20 00:01:35,-9.6567,120.2641,82.29,69,69,5.48
19,Bluff,NZ,2022-12-20 00:00:09,-46.6,168.3333,51.4,67,99,13.69
20,Bredasdorp,ZA,2022-12-20 00:01:36,-34.5322,20.0403,61.36,77,64,4.79
21,Khatanga,RU,2022-12-20 00:01:37,71.9667,102.5,-13.25,99,100,8.93
22,Nikolskoye,RU,2022-12-19 23:55:29,59.7035,30.7861,31.89,91,100,7.07
23,Sandnessjoen,NO,2022-12-20 00:01:37,66.0217,12.6316,31.64,60,100,3.0
24,El Seibo,DO,2022-12-20 00:01:38,18.7641,-69.0375,69.69,93,1,5.77
25,Henties Bay,NA,2022-12-19 23:52:58,-22.116,14.2845,59.97,95,0,3.42
26,Kavieng,PG,2022-12-19 23:54:21,-2.5744,150.7967,81.91,77,100,4.79
27,Key Largo,US,2022-12-19 23:56:57,25.0865,-80.4473,73.99,80,18,14.97
28,Port Elizabeth,ZA,2022-12-19 23:51:36,-33.918,25.5701,64.69,78,0,10.36
29,Conde,BR,2022-12-20 00:01:39,-7.2597,-34.9075,76.53,75,1,8.57
30,Albany,US,2022-12-19 23:58:58,42.6001,-73.9662,31.41,77,51,1.99
31,Mataura,NZ,2022-12-20 00:00:12,-46.1927,168.8643,50.59,79,100,4.16
32,Clarence Town,AU,2022-12-20 00:01:40,-32.5833,151.7833,69.71,65,97,5.97
33,Vaini,TO,2022-12-20 00:01:41,-21.2,-175.2,79.5,83,21,16.33
34,Cape Town,ZA,2022-12-19 23:56:46,-33.9258,18.4232,65.12,70,61,8.01
35,Talara,PE,2022-12-20 00:01:42,-4.5772,-81.2719,69.55,86,57,7.78
36,Griffith,US,2022-12-19 23:59:24,41.5284,-87.4237,25.05,75,75,0.0
37,Sur,OM,2022-12-20 00:01:42,22.5667,59.5289,72.7,59,1,3.78
38,Tasiilaq,GL,2022-12-20 00:01:43,65.6145,-37.6368,8.76,50,0,4.07
39,Palotina,BR,2022-12-20 00:01:43,-24.2839,-53.84,70.09,86,15,4.81
40,Waipawa,NZ,2022-12-20 00:01:44,-41.4122,175.5153,54.64,97,100,8.79
41,Kangundo,KE,2022-12-20 00:01:44,-1.2979,37.3471,58.05,90,50,2.55
42,Cherskiy,RU,2022-12-19 23:52:48,68.75,161.3,22.05,76,17,5.35
43,Hovd,MN,2022-12-19 23:59:53,48.0056,91.6419,1.54,81,85,2.06
44,Jamestown,US,2022-12-19 23:58:58,42.097,-79.2353,29.79,94,100,7.0
45,Sakakah,SA,2022-12-19 23:56:54,29.9697,40.2064,51.37,50,1,5.77
46,Barrow,US,2022-12-20 00:00:00,71.2906,-156.7887,2.75,95,100,7.56
47,Rikitea,PF,2022-12-20 00:00:04,-23.1203,-134.9692,76.86,84,96,18.81
48,Ushuaia,AR,2022-12-20 00:00:03,-54.8,-68.3,52.84,76,73,5.14
